"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
3397572,"       (2007 XY9)",,Y,Y,,0.6194,2.05,0.780,3.34,233.94,127.37,285.41,3.32,2460822.61
3397577,"       (2007 XD10)",,Y,Y,,0.6664,2.152,0.718,18.52,270.06,80.30,143.11,3.59,2460141.98
3397856,"       (2007 XK11)",,Y,Y,,0.6212,2.772,1.050,3.44,167.47,197.11,248.03,4.49,2461124.79
3398140,"       (2007 YB2)",,Y,Y,,0.6951,3.069,0.936,16.39,329.99,214.66,24.46,5.20,2460467.05
3398821,"       (2008 AX1)",,Y,Y,,0.4760,1.547,0.810,12.91,263.23,126.52,287.98,2.28,2460741.07
3399581,"       (2008 AZ30)",,Y,Y,,0.6537,1.333,0.462,2.34,326.61,25.90,358.11,2.20,2460603.45
3399918,"       (2008 AH33)",,Y,Y,,0.5480,2.103,0.951,36.78,335.81,177.24,172.34,3.26,2460067.28
3399920,"       (2008 AK33)",,Y,Y,,0.7201,2.218,0.621,34.09,283.52,88.70,43.48,3.81,2460454.81
3401101,"       (2008 BD15)",,Y,Y,,0.1399,1.079,0.928,32.17,130.33,113.63,231.48,1.23,2460746.60
3401382,"       (2008 CH)",,Y,Y,,0.6883,2.335,0.728,22.14,133.31,294.57,260.22,3.94,2460961.68
3401432,"       (2008 CS1)",,Y,Y,,0.3725,1.23,0.772,29.85,134.09,95.06,39.76,1.69,2460545.44
3402131,"       (2008 CC6)",,Y,Y,,0.7739,1.261,0.285,9.14,146.95,136.42,319.88,2.24,2454568.17
3402613,"       (2008 CL116)",,Y,Y,,0.7431,3.086,0.793,18.75,126.46,113.25,15.50,5.38,2460515.22
3403506,"       (2008 DJ)",,Y,Y,,0.6028,1.982,0.787,5.06,319.02,118.03,5.44,3.18,2460585.10
3404768,"       (2008 EE5)",,Y,Y,,0.0716,0.9448,0.877,44.81,321.26,20.04,182.76,1.01,2460765.64
3405085,"       (2008 EM7)",,Y,Y,,0.2433,1.238,0.937,33.13,347.77,42.76,133.08,1.54,2460414.48
3407608,"       (2008 FW5)",,Y,Y,,0.5438,2.139,0.976,13.47,160.61,0.09,113.85,3.30,2460239.07
3407680,"       (2008 FW6)",,Y,Y,,0.6385,2.261,0.818,6.48,79.93,34.86,321.44,3.70,2460733.53
3409624,"       (2008 HH)",,Y,Y,,0.3554,1.366,0.880,16.32,196.65,116.03,62.39,1.85,2460499.45
3409961,"       (2008 HB38)",,Y,Y,,0.4927,1.854,0.941,1.02,102.70,209.49,152.63,2.77,2460209.53
3410172,"       (2008 JW2)",,Y,Y,,0.6395,2.431,0.877,8.90,35.36,142.45,126.02,3.99,2460115.77
3412755,"       (2008 KV2)",,Y,Y,,0.4121,0.8502,0.500,5.04,66.77,347.86,179.38,1.20,2460457.84
3412894,"       (2008 KE6)",,Y,Y,,0.5210,1.69,0.810,3.43,113.71,224.29,137.59,2.57,2460293.80
3414251,"       (2008 LW16)",,Y,Y,,0.1035,1.066,0.956,29.69,97.97,347.93,133.19,1.18,2460451.74
3414394,"       (2008 MP1)",,Y,Y,,0.5650,1.89,0.822,3.78,105.51,243.36,339.97,2.96,2454703.33
3418109,"       (2008 NO3)",,Y,Y,,0.6715,2.822,0.927,10.29,33.82,210.27,177.71,4.72,2459745.55
3418111,"       (2008 NQ3)",,Y,Y,,0.5817,2.451,1.025,27.17,109.39,155.30,9.77,3.88,2454631.49
3419891,"       (2008 OO)",,Y,Y,,0.7021,2.104,0.627,5.48,305.90,253.74,136.05,3.58,2460179.36
3422140,"       (2008 OS7)",,Y,Y,,0.6467,1.91,0.675,7.04,136.81,73.37,79.28,3.15,2460388.18
3423022,"       (2008 ON13)",,Y,Y,,0.8118,2.224,0.419,5.66,141.38,49.45,354.07,4.03,2460620.46
3423024,"       (2008 PF1)",,Y,Y,,0.4946,1.36,0.687,2.76,129.56,284.23,35.64,2.03,2460543.16
3423200,"       (2008 PK3)",,Y,Y,,0.5978,1.888,0.759,17.10,122.39,109.48,109.15,3.02,2460313.20
3423762,"       (2008 PJ9)",,Y,Y,,0.6610,2.549,0.864,4.77,115.30,135.06,6.09,4.23,2460575.34
3426408,"       (2008 QS11)",,Y,Y,0.453,0.4828,1.861,0.962,12.49,11.50,30.74,104.66,2.76,2460330.96
3426636,"       (2008 RV)",,Y,Y,,0.5637,2.269,0.990,2.28,119.91,192.35,263.67,3.55,2460934.49
3427741,"       (2008 RM98)",,Y,Y,,0.6441,2.551,0.908,1.90,284.68,166.99,304.12,4.19,2460831.48
3427441,"       (2008 SC)",,Y,Y,,0.7020,1.092,0.325,16.87,6.70,122.71,341.39,1.86,2460622.05
3427522,"       (2008 SR1)",,Y,Y,,0.6508,2.371,0.828,16.89,177.91,116.87,153.25,3.91,2460032.92
3427794,"       (2008 SV11)",,Y,Y,,0.7263,2.608,0.714,8.34,14.79,103.80,252.62,4.50,2461059.46
3427985,"       (2008 SH82)",,Y,Y,,0.5957,2.435,0.985,4.63,268.58,158.16,57.68,3.89,2460378.11
3427986,"       (2008 SJ82)",,Y,Y,,0.5776,2.379,1.005,9.69,135.14,218.39,139.19,3.75,2460082.41
3428344,"       (2008 SY148)",,Y,Y,,0.1932,1.25,1.008,28.76,187.29,164.32,13.42,1.49,2454722.47
3429819,"       (2008 TD2)",,Y,Y,,0.3343,1.53,1.019,4.02,15.99,315.98,194.38,2.04,2460918.56
3432688,"       (2008 UU1)",,Y,Y,,0.7507,1.607,0.401,12.09,157.14,119.02,327.57,2.81,2460667.54
3433365,"       (2008 UE7)",,Y,Y,,0.4481,1.649,0.910,3.95,81.14,48.79,157.67,2.39,2460261.89
3434369,"       (2008 UW91)",,Y,Y,,0.5715,1.147,0.491,7.32,247.96,282.91,285.12,1.80,2460693.79
3438960,"       (2008 VL14)",,Y,Y,,0.8182,2.214,0.403,1.95,40.02,243.80,24.21,4.03,2454709.56
3440392,"       (2008 WK61)",,Y,Y,,0.4198,1.66,0.963,17.16,253.38,212.62,139.15,2.36,2460298.48
3440771,"       (2008 WZ94)",,Y,Y,,0.7740,1.522,0.344,6.55,248.65,321.25,118.97,2.70,2460373.91
3441089,"       (2008 XN)",,Y,Y,,0.5882,2.167,0.892,5.31,97.86,63.52,326.00,3.44,2460710.52
3441093,"       (2008 XB1)",,Y,Y,,0.3727,1.332,0.836,12.68,270.33,84.10,149.38,1.83,2460367.45
3441126,"       (2008 XA2)",,Y,Y,,0.6130,2.384,0.923,2.93,39.67,334.51,125.19,3.85,2460132.96
3441149,"       (2008 XQ2)",,Y,Y,,0.5529,2.202,0.984,14.52,34.54,355.10,326.85,3.42,2460710.38
3441171,"       (2008 XW2)",,Y,Y,,0.4438,1.065,0.592,26.46,71.76,259.88,212.61,1.54,2460764.82
3441820,"       (2008 YF)",,Y,Y,,0.4382,1.628,0.915,21.98,86.93,321.17,238.87,2.34,2460855.79
